Task/Milestone Name,Target Date,Completion Status,Notes,Responsible Party
Research Business Programs at Target Universities,2026-06-01,Pending,All 8 universities offer business programs,Student & Parents
Identify Business Program Application Requirements,2026-07-01,Pending,Check for separate business school applications,Student
NC State Poole College of Management Research,2026-06-15,Pending,Research business concentrations and requirements,Student
Duke Economics/Business Research,2026-06-15,Pending,Duke has Economics major; no undergrad business,Student
UCLA Anderson School Research,2026-06-15,Pending,Check undergraduate business economics program,Student
App State Walker College of Business Research,2026-06-15,Pending,Research business administration program,Student
NC A&T Business School Research,2026-06-15,Pending,Research business programs and concentrations,Student
Georgia Tech Scheller College Research,2026-06-15,Pending,Research business administration program,Student
UNC Charlotte Belk College of Business Research,2026-06-15,Pending,Research business programs and concentrations,Student
UNC Chapel Hill Kenan-Flagler Research,2026-06-15,Pending,Research business administration program,Student
