Task/Milestone Name,Target Date,Completion Status,Notes,Responsible Party
Research Film Production Programs,2026-06-01,Pending,Check film/cinema studies programs,Student & Parents
NC State Film Studies Research,2026-06-15,Pending,NC State has limited film studies (not production-focused),Student
Duke Film Studies Research,2026-06-15,Pending,Check Duke film/cinema programs,Student
UCLA Film/TV Production Research,2026-06-15,Pending,UCLA School of Theater Film and Television,Student
App State Communication Programs Research,2026-06-15,Pending,Check App State film/media programs,Student
NC A&T Media Programs Research,2026-06-15,Pending,Check NC A&T film/media programs,Student
Georgia Tech Film/Media Research,2026-06-15,Pending,Check Georgia Tech film/media options,Student
UNC Charlotte Film Programs Research,2026-06-15,Pending,Check UNC Charlotte film programs,Student
UNC Chapel Hill Film Studies Research,2026-06-15,Pending,Check UNC-CH film/media programs,Student
Prepare Film Portfolio (if required),2026-09-01,Pending,Some programs require creative portfolio,Student
