Task/Milestone Name,Target Date,Completion Status,Notes,Responsible Party
Register for SAT (if taking fall test),2026-09-05,Pending,Test-required; middle 50%: 1370-1530,Student
Take SAT (final for EA2),2026-10-03,Pending,Final SAT opportunity before EA2 deadline,Student
Georgia Tech EA2 Application Deadline,2026-11-03,Pending,Non-binding; for non-GA residents; must apply EA for scholarships,Student & Parents
Request Letters of Recommendation,2026-10-01,Pending,Need 2-3 recommenders,Student
Submit Homeschool Transcript,2026-11-03,Pending,Test-required (SAT/ACT mandatory),Parents
Submit Official SAT/ACT Scores,2026-11-03,Pending,Must send official scores from testing agency,Student
Complete Common App or Coalition Essays,2026-10-25,Pending,Personal statement + Georgia Tech supplements,Student
Submit FAFSA,2026-11-15,Pending,Priority deadline for financial aid,Parents & Student
Submit CSS Profile (if required),2026-11-15,Pending,Verify if required for Georgia Tech,Parents & Student
Georgia Tech EA2 Decision Notification,2027-01-15,Pending,Receive EA2 admission decision,N/A
Georgia Tech Regular Decision Application Deadline,2027-01-05,Pending,Final application deadline,Student & Parents
Georgia Tech RD Decision Notification,2027-03-15,Pending,Receive RD admission decision,N/A
College Decision Day (National),2027-05-01,Pending,Commit to university by this date,Student & Parents
Enrollment Deposit (if accepted),2027-05-01,Pending,Confirm enrollment by May 1,Parents
Georgia Tech Orientation Registration,2027-06-01,Pending,Summer orientation sessions,Student & Parents
Housing Application,2027-05-15,Pending,Submit housing preference form,Student & Parents
Course Registration,2027-07-01,Pending,Register for fall courses,Student
