Task/Milestone Name,Target Date,Completion Status,Notes,Responsible Party
UCLA Application Opens,2026-10-01,Pending,UC Application (NOT Common App),Student
Request Letters of Recommendation,2026-10-01,Pending,UC does NOT require LORs for most applicants,Student
Submit Homeschool Transcript,2026-11-30,Pending,Must meet UC A-G requirements,Parents
Complete UC Application Essays,2026-11-15,Pending,4 PIQs (Personal Insight Questions) x 350 words,Student
UCLA Application Deadline,2026-11-30,Pending,Out-of-state; test-blind; min GPA 3.4,Student & Parents
Submit FAFSA,2026-12-01,Pending,Priority deadline for financial aid,Parents & Student
Verify Application Submission,2026-12-01,Pending,Confirm UC application portal receipt,Student
UCLA Decision Notification,2027-03-31,Pending,Receive admission decision,N/A
Statement of Intent to Register (SIR),2027-05-01,Pending,Commit to UCLA by May 1,Student & Parents
Enrollment Deposit (if accepted),2027-05-01,Pending,Submit SIR and pay deposit,Parents
UCLA Orientation Registration,2027-06-01,Pending,Summer orientation sessions,Student & Parents
Housing Application,2027-05-15,Pending,Submit housing preference form,Student & Parents
Course Registration,2027-07-01,Pending,Register for fall courses,Student
