Task/Milestone Name,Target Date,Completion Status,Notes,Responsible Party
Register for SAT (if taking fall test),2026-09-05,Pending,Test-optional; middle 50%: 1350-1500,Student
Take SAT (final for EA),2026-10-03,Pending,Final SAT opportunity before EA deadline,Student
UNC Chapel Hill Early Action Application Deadline,2026-10-15,Pending,Non-binding; 42% in-state vs 10% out-of-state acceptance,Student & Parents
Request Letters of Recommendation,2026-09-25,Pending,Need 2 recommenders,Student
Submit Homeschool Transcript,2026-10-15,Pending,No special homeschool requirements,Parents
Self-Report SAT/ACT Scores (if submitting),2026-10-15,Pending,Can self-report on Coalition App,Student
Complete Coalition App Essays,2026-10-10,Pending,Personal statement + UNC supplements,Student
Submit FAFSA,2026-11-01,Pending,Priority deadline for financial aid,Parents & Student
Submit CSS Profile (if required),2026-11-01,Pending,Verify if required for UNC-CH,Parents & Student
UNC Chapel Hill EA Decision Notification,2027-01-31,Pending,Receive EA admission decision,N/A
UNC Chapel Hill Regular Decision Application Deadline,2027-01-15,Pending,Final application deadline,Student & Parents
UNC Chapel Hill RD Decision Notification,2027-03-31,Pending,Receive RD admission decision,N/A
College Decision Day (National),2027-05-01,Pending,Commit to university by this date,Student & Parents
Enrollment Deposit (if accepted),2027-05-01,Pending,Confirm enrollment by May 1,Parents
UNC Chapel Hill Orientation Registration,2027-06-01,Pending,Summer orientation sessions,Student & Parents
Housing Application,2027-05-15,Pending,Submit housing preference form,Student & Parents
Course Registration,2027-07-01,Pending,Register for fall courses,Student
