Task/Milestone Name,Target Date,Completion Status,Notes,Responsible Party
Register for SAT (if taking fall test),2026-09-05,Pending,Test-optional with GPA 2.8+,Student
Take SAT (if taking),2026-10-03,Pending,Optional; avg GPA 3.55,Student
UNC Charlotte Early Action Application Deadline,2026-11-01,Pending,Non-binding; priority consideration,Student & Parents
Request Letters of Recommendation,2026-10-01,Pending,Need 1-2 recommenders,Student
Submit Homeschool Transcript,2026-11-01,Pending,Must show GPA 2.8+ for test-optional,Parents
Self-Report SAT/ACT Scores (if submitting),2026-11-01,Pending,Can self-report on Common App,Student
Complete Common App Essays,2026-10-25,Pending,Personal statement (no supplements required),Student
Submit FAFSA,2026-11-15,Pending,Priority deadline for financial aid,Parents & Student
UNC Charlotte EA Decision Notification,2027-01-15,Pending,Receive EA admission decision,N/A
UNC Charlotte Regular Decision Application Deadline,2027-02-01,Pending,Final application deadline,Student & Parents
UNC Charlotte RD Decision Notification,2027-03-15,Pending,Receive RD admission decision,N/A
College Decision Day (National),2027-05-01,Pending,Commit to university by this date,Student & Parents
Enrollment Deposit (if accepted),2027-05-01,Pending,Confirm enrollment by May 1,Parents
UNC Charlotte Orientation Registration,2027-06-01,Pending,Summer orientation sessions,Student & Parents
Housing Application,2027-05-15,Pending,Submit housing preference form,Student & Parents
Course Registration,2027-07-01,Pending,Register for fall courses,Student
